Custom_Account,JPM_Account,Statement_Date,Currency,Opening_Balance,Commission,Option_Premium,Journal_Items,Gross_Realised_Profit_Loss,Closing_Balance,Open_Trade_Equity,Total_Equity,Net_Market_Value_of_Options,Initial_Margin_Requirement,Maintenance_Margin_Requirement,Margin_Value_Securities,AFR_Excess_Cash_Equity,Net_Liquidating_Value,Conversion_Rate,Conv_Net_Liquidating_Value,account_type,custom_account_name,japanese_initial_requirement,jpm_account_name,Stmnt_Recap_Cat_Description,transaction_source_type,Pending Cash Total,Pending Trade Date Balance,Pending Incremental EXC/DEF
31913,31913,2-Jan-20,{Conv Tot},-46585249.54,0,0,0,-63300,-46648549.54,-18500,-46667049.54,0,379937,379937,0,-47046986.54,-46667049.54,1,-46667049.54,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-46667049.54,-47046986.54
31913,31913,2-Jan-20,USD,3884.5,0,0,0,0,3884.5,0,3884.5,0,0,0,0,3884.5,3884.5,1,3884.5,USD               NS,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,*US$ NON-US EXCHANGES*,FINAL,0,3884.5,3884.5
31913,31913,2-Jan-20,USD,-46589134.04,0,0,0,-63300,-46652434.04,-18500,-46670934.04,0,379937,379937,0,-47050871.04,-46670934.04,1,-46670934.04,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-46670934.04,-47050871.04
31914,31914,2-Jan-20,{Conv Tot},-36929587.9,-1664.73,0,0,-831177,-37762429.63,-7427279,-45189708.63,0,17509921,17509921,0,-62699629.63,-45189708.63,1,-45189708.63,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-45189708.63,-62699629.63
31914,31914,2-Jan-20,USD,-941.6,0,0,0,0,-941.6,0,-941.6,0,0,0,0,-941.6,-941.6,1,-941.6,NON-SEGREGATED USD,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,*US$ NON-US EXCHANGES*,FINAL,0,-941.6,-941.6
31914,31914,2-Jan-20,USD,-36928646.3,-1664.73,0,0,-831177,-37761488.03,-7427279,-45188767.03,0,17509921,17509921,0,-62698688.03,-45188767.03,1,-45188767.03,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-45188767.03,-62698688.03
31915,31915,2-Jan-20,{Conv Tot},17307135.85,0,0,0,0,17307135.85,597774,17904909.85,0,15622,15622,0,17889287.85,17904909.85,1,17904909.85,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,17904909.85,17889287.85
31915,31915,2-Jan-20,USD,17307135.85,0,0,0,0,17307135.85,597774,17904909.85,0,15622,15622,0,17889287.85,17904909.85,1,17904909.85,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,17904909.85,17889287.85
31916,31916,2-Jan-20,{Conv Tot},-103356186.3,-2472.42,0,0,-47543269.94,-150901928.6,783882.91,-150118045.7,0,22196567,22196567,0,-172314612.7,-150118045.7,1,-150118045.7,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-150118045.7,-172314612.7
31916,31916,2-Jan-20,USD,-103356186.3,-2472.42,0,0,-47543269.94,-150901928.6,783882.91,-150118045.7,0,22196567,22196567,0,-172314612.7,-150118045.7,1,-150118045.7,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-150118045.7,-172314612.7
