Custom_Account,JPM_Account,Statement_Date,Currency,Opening_Balance,Commission,Option_Premium,Journal_Items,Gross_Realised_Profit_Loss,Closing_Balance,Open_Trade_Equity,Total_Equity,Net_Market_Value_of_Options,Initial_Margin_Requirement,Maintenance_Margin_Requirement,Margin_Value_Securities,AFR_Excess_Cash_Equity,Net_Liquidating_Value,Conversion_Rate,Conv_Net_Liquidating_Value,account_type,custom_account_name,japanese_initial_requirement,jpm_account_name,Stmnt_Recap_Cat_Description,transaction_source_type,Pending Cash Total,Pending Trade Date Balance,Pending Incremental EXC/DEF
31913,31913,1-Jan-20,{Conv Tot},-46585249.54,0,0,0,0,-46585249.54,-88800,-46674049.54,0,342663,342663,0,-47016712.54,-46674049.54,1,-46674049.54,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-46674049.54,-47016712.54
31913,31913,1-Jan-20,USD,3884.5,0,0,0,0,3884.5,0,3884.5,0,0,0,0,3884.5,3884.5,1,3884.5,USD               NS,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,*US$ NON-US EXCHANGES*,FINAL,0,3884.5,3884.5
31913,31913,1-Jan-20,USD,-46589134.04,0,0,0,0,-46589134.04,-88800,-46677934.04,0,342663,342663,0,-47020597.04,-46677934.04,1,-46677934.04,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-46677934.04,-47020597.04
31914,31914,1-Jan-20,{Conv Tot},-36929587.9,0,0,0,0,-36929587.9,-7401930,-44331517.9,0,15250688,15250688,0,-59582205.9,-44331517.9,1,-44331517.9,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-44331517.9,-59582205.9
31914,31914,1-Jan-20,USD,-941.6,0,0,0,0,-941.6,0,-941.6,0,0,0,0,-941.6,-941.6,1,-941.6,NON-SEGREGATED USD,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,*US$ NON-US EXCHANGES*,FINAL,0,-941.6,-941.6
31914,31914,1-Jan-20,USD,-36928646.3,0,0,0,0,-36928646.3,-7401930,-44330576.3,0,15250688,15250688,0,-59581264.3,-44330576.3,1,-44330576.3,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-44330576.3,-59581264.3
31915,31915,1-Jan-20,{Conv Tot},17307135.85,0,0,0,0,17307135.85,597774,17904909.85,0,15622,15622,0,17889287.85,17904909.85,1,17904909.85,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,17904909.85,17889287.85
31915,31915,1-Jan-20,USD,17307135.85,0,0,0,0,17307135.85,597774,17904909.85,0,15622,15622,0,17889287.85,17904909.85,1,17904909.85,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,17904909.85,17889287.85
31916,31916,1-Jan-20,{Conv Tot},-103356186.3,0,0,0,0,-103356186.3,-45966334.45,-149322520.7,0,21532758,21532758,0,-170855278.7,-149322520.7,1,-149322520.7,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-149322520.7,-170855278.7
31916,31916,1-Jan-20,USD,-103356186.3,0,0,0,0,-103356186.3,-45966334.45,-149322520.7,0,21532758,21532758,0,-170855278.7,-149322520.7,1,-149322520.7,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-149322520.7,-170855278.7
31918,31918,1-Jan-20,{Conv Tot},-1552002.6,0,0,0,0,-1552002.6,0,-1552002.6,0,0,0,0,-1552002.6,-1552002.6,1,-1552002.6,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-1552002.6,-1552002.6
31918,31918,1-Jan-20,USD,-1552002.6,0,0,0,0,-1552002.6,0,-1552002.6,0,0,0,0,-1552002.6,-1552002.6,1,-1552002.6,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-1552002.6,-1552002.6
31919,31919,1-Jan-20,{Conv Tot},-121752.19,0,0,0,0,-121752.19,82550,-39202.19,0,0,0,0,-39202.19,-39202.19,1,-39202.19,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-39202.19,-39202.19
31919,31919,1-Jan-20,USD,-121752.19,0,0,0,0,-121752.19,82550,-39202.19,0,0,0,0,-39202.19,-39202.19,1,-39202.19,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-39202.19,-39202.19
31921,31921,1-Jan-20,{Conv Tot},-4794411.07,0,0,0,0,-4794411.07,-190430,-4984841.07,0,295257,295257,0,-5280098.07,-4984841.07,1,-4984841.07,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,-4984841.07,-5280098.07
31921,31921,1-Jan-20,USD,-4794411.07,0,0,0,0,-4794411.07,-190430,-4984841.07,0,295257,295257,0,-5280098.07,-4984841.07,1,-4984841.07,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,-4984841.07,-5280098.07
